user;lokasi;sentimen;ulasan
Fasta Awdesy;air terjun teroan;Positif;Tempat nya bagus
arseta sida;air terjun teroan;Negatif;Air terjunnya bagus tapi sayangnya sekitar kurang terawat
Indra Mahendra;air terjun teroan;Positif;Air terjunnya keren deket laut tinggal dijaga dengan baik
Alfiyah Nada Trianah;air terjun teroan;Positif;Air terjun yang langsung mengalir ke lautan dipadu dengan sunset yang indah, luar biasa.
Muhtarial Alfan;air terjun teroan;Negatif;Air terjun yang indah..namun sayangnya belum dikelola secara optimal..
Irena Anindita;air terjun teroan;Negatif;Bagus, tapi kotor byk sampah. Mhon pemerintah setempat mengelola dgn baik
Nury Damwijk;air terjun teroan;Positif;Pemandangannya sangat bagus. Air terjunnya  tinggiiiiiii
achmad alwy;air terjun teroan;Negatif;klo musim hujan kurang bagus air nya g jerni .....
rifmi utami;air terjun teroan;Positif;Amazing place...bagus untuk tadabur alam, tp tdk untuk mandi...
Mazz Bakirz;air terjun teroan;Positif;Karna tempatnya sejuk dan bagus Untuk menenangkan fikiran
Siens Harianto;air terjun teroan;Positif;Indah,,,
Ufi Azki;air terjun teroan;Positif;Bagus. Cuma jauh bangetttt. G terbalas dengan capekknya di jalan
Mas Sory;air terjun teroan;Positif;Pemandangannya bagus
Soegiarto Soegiarto;air terjun teroan;Positif;Air Terjun yang indah yg airnya langsung ke laut, lokasi ketapang sampang madura
Aynta Rimahim;air terjun teroan;Positif;Bagus banget aku suka??pengen liburan ke madura lagi bareng keluarga ?
Arif Y;air terjun teroan;Positif;Bagus view photo karena langsung turun ke laut
Anisa Fitri;air terjun teroan;Positif;Tempat ini bagus dan juga memberiku kenangan indah yang tak terlupakan
Adi Wardiyanto;air terjun teroan;Positif;"Mantap, sejuk dan indah
Oke la pokoknya..."
Mas Jali;air terjun teroan;Positif;Sungguh indahnya melihat air terjun ini
Moch Chodri;air terjun teroan;Positif;"Tmpatnya yg alami,,,
Bagus buat hunting..?? ?"
Sory Cassanova;air terjun teroan;Positif;Tempat dan pemandangannya sungguh bagus
Azmi Mamee;air terjun teroan;Negatif;Tempat bagus si,  tapi kurang terawat
Syafi'i Ns;air terjun teroan;Negatif;Tempatnya bagus, cm belum dikelola dengan baik
eksa avanda mukti;air terjun teroan;Positif;Salah satu Tempat Keren di Madura. deket Laut dan jalan Aspal juga
Ars Ns;air terjun teroan;Positif;Bagus indah masuknya cuman 10000
William Patrick;air terjun teroan;Negatif;Bagus,  tpi sayang kurang kerawat
Mrs. VE;air terjun teroan;Positif;Pemandangan indah, butuh sentuhan tangan pemangku kekuasaan
Ardik Wijayanto;air terjun teroan;Positif;Bagus, air terjun ke pantai
ROHIL AUDIO OFFICIAL;air terjun teroan;Positif;Air terjunnya indah
Muhammad Nefil;air terjun teroan;Positif;Air terjun yg indah
Aris W;air terjun teroan;Negatif;Masih bisa digarap lebih bagus lg
Sengkok Romli;air terjun teroan;Positif;Temapatnya indah dan sangat strategis
Shiddik Dolar Damay Nya Pncr;air terjun teroan;Positif;Klo madura sungguh indah sekaliy
risman ynt;air terjun teroan;Positif;Bagus unik alami
Alfian Risky;air terjun teroan;Positif;Karna tempatnya sangat indah
O-Gear;air terjun teroan;Positif;Tempatnya bagus
arnanto nugroho;air terjun teroan;Positif;Lumayan bagus
Faisoll Akbar;air terjun teroan;Positif;Air yg indah
Luluk Mukarromah;air terjun teroan;Positif;Sangat indah dan bangus
As'ad Yahya Syafi'i;air terjun teroan;Positif;Indah sekali
Muhammad Afandi;air terjun teroan;Positif;Sangat indah
dian Kurniasih;air terjun teroan;Positif;Keren,, instagramable..
Muhammad Prasetyo;air terjun teroan;Positif;Keren tempatnya
Juarieko Arganta;air terjun teroan;Positif;Keren
Ariful Azis;air terjun teroan;Positif;Bagus
kang sukir;air terjun teroan;Positif;Indah
agus pendekar;air terjun teroan;Positif;Bagus
Mely Elkholidi;air terjun teroan;Positif;Bagus
Omega Lesta;air terjun teroan;Positif;Indah
sarika arinta;air terjun teroan;Positif;indah
Zurach Bhajink Sakti;air terjun teroan;Positif;Karena bagus
Erdiant Rendy;air terjun teroan;Positif;Madura keren
alam cahya;air terjun teroan;Positif;Air terjun mini terbaik! Meski butuh 3 hingga 4 jam untuk sampai ke sana dari surabaya. Tapi it's worth it, ada pemandangan matahari terbenam yang bagus dan air segar dari air terjun, air terjun itu sendiri jatuh ke laut dan memiliki pemandangan air yang jernih. Bagus!
Johan HP;air terjun teroan;Positif;Tempat yang damai dan indah! Waktu terbaik ke sini adalah saat matahari terbenam (sayangnya, saya tidak bisa melihat matahari terbenam di sana karena saya pergi ke sana saat musim hujan). Tapi berfoto di sini saat jam biru juga bagus. Saya ?
Christian Wijayanto;air terjun teroan;Positif;air terjun kecil, namun aksesnya mudah, dekat jalan umum. panorama saat matahari terbenam sangat indah. anda bisa turun ke bawah air terjun untuk mengambil beberapa gambar, namun hati-hati karena disekitar sana banyak terdapat bebatuan. ?
MTegar RSaputra;air terjun teroan;Positif;tempat yang bagus untuk beristirahat ketika Anda sedang dalam perjalanan panjang
Kita Pritasari Arumdati;air terjun teroan;Positif;Akses mudah, area cukup bersih, air jernih, air terjun tepat di pinggir pantai. Tempat yang bagus untuk foto-foto dan bersantai di tepi pantai dengan air terjun yang mengalir di belakang. Gratis, hanya biaya parkir. Tersedia toilet, kamar mandi, dan Mushola dengan peralatan sholat di dalamnya (Alquran, mukena, sarung, dll)
Faisal Al Shehri;air terjun teroan;Negatif;Sebagai pemandangan yang sangat indah dianggap air terjun dari tanah yang turun ke laut, masalahnya air air terjun itu mengalirkan kotoran ke dalamnya, karena sangat tercemar, kebersihannya harus dijaga. tidak ada rumah peristirahatan atau kafe di dekatnya.
Buhari Stisindo;air terjun teroan;Positif;Pemandangan yang bagus.. Luar biasa
M. Anwarsyam Mohamad;air terjun teroan;Positif;tempat yang bagus
Natsuri Afroh;air terjun teroan;Positif;Bagu jgk ya payment danga pun bagus
Novian3 DK;air terjun teroan;Positif;Ada tempat yang bagus untuk perjalanan Anda di pulau
Herlina Halim;air terjun teroan;Positif;Perlu lebih banyak fasilitas untuk mengambil gambar yang bagus
Graeme Ts;air terjun teroan;Positif;Air terjun air tawar yang bagus ke Laut Jawa.
Bayu K;air terjun teroan;Positif;Tempat yang bagus untuk berburu foto dengan inspirasi liar
ibnu widagdo;air terjun teroan;Positif;Bagus
Retno Tri Lestari;air terjun teroan;Positif;Air terjun yang bagus
Nurul Hudi;air terjun teroan;Positif;Air terjun yang indah
Yudi Priyono;air terjun teroan;Positif;Cantik
Muh. Sifaul Muztahid;air terjun teroan;Positif;Toroan Waterfall is Waterfall that directly meet sea. Actually even this place is small but it's quite beautiful place. Now days this place is really crowded by many local tourist and there's trash everywhere. This place looks like is still ?
RnT;air terjun teroan;Positif;Lokasinya berada di pinggir jalan pantura Madura sehingga sangat mudah dijangkau. Pertama kali sampai, pemandangan laut biru menyambut. Air Terjun Toroan memiliki keunikan menghadap langsung ke laut. Untuk menuju lokasi air terjun kita ?
Tamamul Anwar;air terjun teroan;Positif;Suasananya nyaman.  Dari kota sampang ke sini butuh waktu  kurang lebih jam.  Disini terdapat 3 air terjun   1 lebar dan 2 kecil. Rekom buat teman teman yang ada di daerah sekitar sampang.  Bisa buat memajakan mata.  Foto di ambil saat siang hari.  Eh iya harga parkir nya juga standar kok.
tufail aulia;air terjun teroan;Positif;Air terjun toroan, dilengkapi fasilitas musholla, toilet, warung makan kadang buka kadang tutup, mudah terlihat dari jalan raya. Wisata masih alami hanya kena parkir R4 10.000, R2 5000. parkir luas dan nyaman.
fadel abu aufa;air terjun teroan;Positif;Anda lewat pantura madura, rasanya kurang lengkap tanpa mampir di air terjun toroan tepatnya di ketapang timur kabupaten sampang, air terjunnya langsung jatuh ke laut dan satu-satunya di madura dan sekarang sudah ada rest area, tempat parkir, rumah makan serta toilet
Agus Purnomo;air terjun teroan;Positif;Menarik, menyenangkan ada tempat makan lesehan utk sekedar istirahat dn mengisi perut dg pemandangan pantai sipp
Ny. Warta;air terjun teroan;Negatif;amazing! suara debur ombak + gemuruh air terjun bener2 bikin fresh! sayang kurang terawat.. semoga pemda ada perhatian untuk mengeksploitasi air terjun toroan sbg destinasi wisata utama sampang
jelajah sumenep;air terjun teroan;Positif;Air terjun yg langsung bermuara di laut,  untuk kesini bisa menghubungi kami..
Linda eLDe;air terjun teroan;Positif;Good scenery,air terjun yg langsung bermuara ke laut,gag bakal nyesel
Tatang Decoration;air terjun teroan;Positif;Seru banget.... Sangat memicu adrenaline apalagi saat ambil gambar dr atas air terjunnya...
Just Skip;air terjun teroan;Positif;Wisata yang cocok buat kalian yang suka foto - foto dan refreshing
Tsurayya Kamila Novita;air terjun teroan;Negatif;Sarana dan prasarana masih harus terus ditambah sih. Dikelola lebih baik lagi. Agak panas banget daerahnya... Kurang tempat* berteduh ...hihi . Tp okelah untuk mampir tipis tipis...
Fatin Susanna;air terjun teroan;Negatif;Masih perlu pembenahan disana sini utk memudahkan pengunjung menuju sekitar lokasi tp setiap kesini selalu ada kemajuan
indi ra;air terjun teroan;Positif;Air terjun langsung mengarah ke laut
Olievia P Mulyana;air terjun teroan;Positif;Wisata alam yang dikelola secara alami oleh warga sekitar. Lokasinya dipinggir jalan dengan pentunjuk yang mudah terlihat. Air terjun ini langsung menuju laut jadi untuk foto kita harus menuruni tangga menuju pinggir laut jadi apabila ?
Zhela Aspriela (Zh/A);air terjun teroan;Positif;Rame disini, kalo cari kulineran disini banyak. Tapi seru kalo ke air terjunnya, kalo lagi pasang kayaknya sangat engga disarankan untuk mandi di air terjunnya. Cukup bayar parkir kendaraan disini. Lahan parkirnya juga luas bias motor dan mobil, bus pariwisata juga bisa.
Sigit Ardianto;air terjun teroan;Positif;Air terjun di pinggir pantai.. Spot wajib para landscaper longexposure mania
Rio Wija (wijapuccino);air terjun teroan;Positif;Air Terjun yang unik karena aliran airnya langsung menuju ke laut. Termasuk wisata 2 in 1 karena selain air terjun kita juga bisa menikmati pantainya. Nilai tambahnya air terjun ini terletak tidak jauh dari jalan raya.
nur faizal lisanto;air terjun teroan;Positif;Air terjun langsung ke pantai.. menakjubkan.. kereen
Ilham Afandi;air terjun teroan;Positif;Berada di arah timur Ketapang Daya hampir mendekati Ketapang bagian Timur. Letak geografis yang mumpuni membuat para travellers yang hendak pergi ke air terjun ini menjadi lebih mudah untuk dilalui. Sejalan dengan masyarakat disekitar ?
Fathoni;air terjun teroan;Positif;"Sabtu kmarin kesini... Oke lah.. Namun langit tak menampilkan warna senja nya.

Btw Sarung ku ketinggalan di Mushola hhiks,  tapi tak apalah mungkin ditakdirkan ?"
Gatot Arie;air terjun teroan;Positif;Jangan Pernah Lelah Mencintai IndONEsia
Hammada Syarif;air terjun teroan;Positif;Satu-satunya Air Terjun di Kabupaten Sampang, dan Pulau Madura. ada tempat parkirnya, untuk bukanya dari pagi sampai sore, bisa mendirikan tenda. spot sunset dan ada juga yang menjual makanan disana.
abidizaky;air terjun teroan;Positif;Sekarang untuk tempat parkir dan rute ke toroan sudah gampang
Irfan Afandi;air terjun teroan;Positif;Tempat terbaik buat sunrise sunset
Ismi Sari;air terjun teroan;Positif;Tempatnya dikelola dengan baik... Semoga seterusnya begitu...
dedy bendot;air terjun teroan;Positif;Air terjun kebanggaan masyarakat sampang pada umumnya, dan masyarakat Ketapang pada khususnya. Lokasi sudah mulai banyak perkembangan, sudah terkelola dengan baik.
Akhmad Firmansyah;air terjun teroan;Positif;Amazing banget air terjun bertemu langsung dengan laut lepas, dan airnya yang jernih memanjakan mata setiap wisatawan yang hadir
Pangky Aja;air terjun teroan;Positif;"Akses mudah
Tempat sangat mengesankan
Tapi sayang,karena dipesisir cuaca agak panas ?"
Adam Taufan;air terjun teroan;Positif;Tempatnya masih alami. Sip banget tempat parkirnya nyaman sayang tempat jualan makanan cuman sedikit. Kalau bisa bawa perbekalan dulu sebelum menuju kesini
Tuan Kuda;air terjun teroan;Negatif;Sebaiknya wisata alam biarlah tetap alami, tanpa perlu dibangun ini itu. Bangunan malah bikin rusak
aditya wicaksono;air terjun teroan;Negatif;Lumayan buat refreshing. Tapi naik turun tangga menuju spotnya cukup menguras tenaga haha..
Imam Geniuez;air terjun teroan;Positif;Menurut saya cakep banget klo sore pemandangan nya sangat mendukung sekali
Budi Asisi;air terjun teroan;Positif;"Nampak beberapa nelayan dan pemancing
Ada tulisan dilarang mandi?? di air terjun ?"
Edi Kurniadi;air terjun teroan;Negatif;Panorama alamnya lumayan, sayangnya pantainya karang semua. Pasirnya dikeruk warga dan dijual
satrya tama;air terjun teroan;Positif;Bagi pecinta alam cocok ya,tapi kalau habis hujan harap hati hati?? ?
Susmiari S. Pd;air terjun teroan;Positif;Air terjun menuju laut..  Cipratan jatuhnya air... Sejuk..
Theresya Beatriz;air terjun teroan;Negatif;Wisatanya kurang dirawat. Tidak bersih.  Cenderung biasa saja.  Jika kesini disarankan pagi hari saja
Eni Rosita;air terjun teroan;Positif;Baru kali ini aku melihat air terjun langsung kelaut....takjub
Andre Rean;air terjun teroan;Positif;Mantap kan bro :v
Arga Fabian;air terjun teroan;Negatif;kurang terawat, fasilitas minim. jarak toilet dengan venue lumayan jauh.
IZMUREEAN;air terjun teroan;Positif;Tempat mudah terjangkau, mungkin kalau lebih bersih sedikit pasti nyaman
Hanan Indra Subakti;air terjun teroan;Positif;Air terjunnya langsung k laut mantab deh pokoknya
Helmy Afrul;air terjun teroan;Positif;Obyek foto yang ciamik ?????? ?
Agil;air terjun teroan;Positif;Sangat damai suasananya sejuk pemandangan
Siti Yanti;air terjun teroan;Positif;Eksotik..
Billionaire Preneur;air terjun teroan;Positif;Masih alami & bersih
Awi Frilian;air terjun teroan;Positif;Wisata air terjun turoan
Wepa Jupiter;air terjun teroan;Positif;Sangat seruu
Dicky Iwan Setiawan;air terjun teroan;Positif;Lokasinya mudah dijangkau,  tidak ada tiket masuk
Marsuqy Sauqy;air terjun teroan;Positif;Sulit ada air terjun jatuhnya ke laut
Abdul Asis;air terjun teroan;Positif;Baik untuk penelitian ...!
Avid Anjala;air terjun teroan;Positif;air terjun yang menarik langsung ke pantai
Ronny Hidayat;air terjun teroan;Negatif;Biasa saja
Erwin Brewok;air terjun teroan;Positif;Wisata air terjun yg ada d Madura
Ahmad Puji;air terjun teroan;Positif;Air nya dingin seger banget
Husyaimah Ima;air terjun teroan;Positif;Intinya Suka Banget Sama Air Terjun Itu ???? ?
Tuan Amos;air terjun teroan;Negatif;Biasa aja..dilarang nyemplung berenang
angga apache;air terjun teroan;Positif;Mencari sunset..
Fadol Labo Labo;air terjun teroan;Positif;Soal nya Satu2 nya air turjun di madura
Chusni Mubarok;air terjun teroan;Positif;Air terjun langsung pinggir pantai
exgen 934;air terjun teroan;Positif;Air terjun di padu sama laut
Frame8 Photoworks;air terjun teroan;Negatif;Cakep pada bulan 2 tertentu saja
Afida Anakmami;air terjun teroan;Positif;Niagara KW ???? ?
Ar Man;air terjun teroan;Negatif;Gelombang lautnya lumayan besar
kholil ahmad;air terjun teroan;Positif;Salah satu destinasi wisata d Sampang, Madura
Saiful Anam;air terjun teroan;Positif;Air terjun Toroan Memang Mantap
lilis maratus;air terjun teroan;Positif;Tempat ini nyaman untuk berwisata
frandik us (prandik);air terjun teroan;Negatif;airnya kurang bersih
Mohamad Dimyati Yusuf;air terjun teroan;Positif;lokasi terlihat dr jalan raya
Ridoi Ozora;air terjun teroan;Negatif;Bisakah mobil masuk
Adi Aja;air terjun teroan;Positif;Air terjun toroan seruuuu....?? ?
Zuhdi Sulaiman;air terjun teroan;Negatif;Masih dalam tahap perbaikan
Prasetyo Adi;air terjun teroan;Positif;Sederhana.... Natural.... Tapi exotic
Achmad Ubaidillah;air terjun teroan;Positif;Lumayan
Win Winarno;air terjun teroan;Positif;Tempat yg enak unt santai
Abie Ole Olang;air terjun teroan;Positif;Obyek Legendaris di Pantai Utara Madura
21-003_ Raihan Fadillah;air terjun teroan;Negatif;???????? ?
Satria Imandaka Pradana;air terjun teroan;Positif;Tempat terjangkau
Moh. Wahed Hasim Asary;air terjun teroan;Positif;Air terjun so beautiful
Daniel Christianto;air terjun teroan;Negatif;Kurang terawat
hari subarno;air terjun teroan;Positif;Air terjun Toroan ketapang
Lina Charel;air terjun teroan;Negatif;Biasa aja...
bari indro pratomo;air terjun teroan;Positif;Tenang ...
Jabirut Tamam;air terjun teroan;Negatif;Tempat gitu tok
segianto 39;air terjun teroan;Positif;Favorit para wanita..?????? ?
Anggita Ayu;air terjun teroan;Negatif;Mengecewakan
Rud aulf;air terjun teroan;Positif;Apik
Amirul seneng;air terjun teroan;Positif;Waw
Nadhila Yusrina;air terjun teroan;Positif;Mantap
Dark Yagami;air terjun teroan;Positif;Tenang
Story Bola;air terjun teroan;Positif;Eksotik
Nasir 57;air terjun teroan;Positif;Sejuk
Mohammad Nurul Hidayat;air terjun teroan;Positif;Alami
Purnomo Dwi Candra;air terjun teroan;Positif;Top banget
Samm Samm;air terjun teroan;Positif;Sip
Pote Tolang Mdr;air terjun teroan;Positif;Sip
Erika Amelia;air terjun teroan;Positif;layak dikunjungi
Dhay Hidayat;air terjun teroan;Positif;Buaguss Buangett... ?? ?
Prametha Armunanto;air terjun teroan;Positif;View mantab
Mohammad Ferianto;air terjun teroan;Positif;Air Terjun Toroan merupakan salah satu destinasi wisata di Sampang. Letaknya dekat dengan pasar tradisional Ketapang. Air terjun ini dekat dengan pantai sehingga airnya akan mengalir ke laut. Tempat ini tidak disarankan untuk anak-anak karena tidak cukup area bermain dan dilarang berenang di sini.
dian ekawati suryaman;air terjun teroan;Positif;Air terjun unik. Airnya langsung jatuh ke laut/pantai. Inilah air terjun terbesar di Madura. Kita harus sangat berhati-hati saat berjalan di sekitar pantai dekat air terjun. Jangan pernah berenang di bawah air terjun.
???;air terjun teroan;Positif;Sungai mengalir ke laut membentuk air terjun, airnya tidak terlalu bersih, dan biaya parkir 10.000
Baihaqi Bintang;air terjun teroan;Positif;Salah satu spot foto terbaik di madura
Adam Victor Handoyo;air terjun teroan;Positif;Tempat luar biasa untuk pecinta lanskap
Novel firdhaus;air terjun teroan;Negatif;Benar-benar tidak seperti yang saya harapkan, air terjunnya sangat kecil dan kami tidak bisa berenang juga tidak terlalu direkomendasikan.
Rose Diana Sari;air terjun teroan;Positif;Air terjun mini di utara Pulau Madura..
faried alvino;air terjun teroan;Positif;Air yerjun toroan sampang
Cristian Moreno;air terjun teroan;Positif;Tidak apa-apa untuk perhentian yang menyenangkan dan bahkan untuk hidangan lezat!
Steven Ray W;air terjun teroan;Positif;Sunyi, lingkungannya benar-benar tenang, asri, dan udaranya segar.
Ria Puspitasari;air terjun teroan;Positif;Saya menyarankan Anda untuk mengunjungi tempat ini jika Anda berada di madura
Hendra Gunawan;air terjun teroan;Negatif;Tidak banyak yang bisa dilakukan, hanya mengambil beberapa foto
Antonius Masashi;air terjun teroan;Negatif;Juga ups
El Maulidy El Madury;air terjun teroan;Positif;Yang terbaik
happy channel;air terjun teroan;Negatif;Tempatnya cukup menyeramkan
Rossie Vanzer;air terjun teroan;Negatif;Itu tidak luar biasa kau tahu
Bayu Al Fahmi;air terjun teroan;Negatif;Tempat Air terjun nya tidak terawat masih banyak sampah berserakan.
SSC Reborn Studio;air terjun teroan;Negatif;lokasi dan spot alam yg menarik. tp sayang terlihat kumuh dan kotor. seharusnya jd tugas pemerintah setempat untuk mengelola dgn baik.
Novi Wahyu;air terjun teroan;Negatif;Airnya kotor dan sangat deras jika musim hujan
Jienz Ed;air terjun teroan;Negatif;Masih bnyak sampah yg berserakan
Fridinal Deleshef;air terjun teroan;Negatif;Jelek
Ani Arifah;air terjun teroan;Negatif;Perjalanan yang sangat jauh dari Bangkalan dengan permukaan yang tidak rata. Air sangat kotor / keruh dan tidak banyak ruang untuk mengambil foto! Tidak menyangka itu sebenarnya lebih buruk daripada foto di pencarian Google. Tidak akan merekomendasikan tempat ini untuk dikunjungi.
Hidayatul Mustofa;air terjun teroan;Positif;"Tempat yg bagus..
Air terjun alami..
Suasana adem.. ?"
Marcelles Caryabudi ST RFP;air terjun teroan;Positif;"Tiket masuk 5000/orang
Parkir mobil 5000
Sudah di kelola dengan lebih baik daripada bbrp tahun lalu. Ada kamar mandi, ?"
Dwi Setyawan;air terjun teroan;Positif;Sangat unik mungkin satu-satunya di Nusantara air terjun langsung ke laut. Mirip yang saya lihat di Jeju Korea Selatan
Hamidi Amir;air terjun teroan;Negatif;Pengalam jadi orang bodoh itu tidak wajib
Antonina Suryantari;air terjun teroan;Negatif;Tempatnya bagus tetapi agak kotor. Ada limbah tebu yang sepertinya dibuang di sekitar area sehingga ada bau tidak sedap yang tercium. Kalau areanya bersih, akan lebih menyenangkan menghabiskan waktu di sana.
Muhajir Al Mubarok;air terjun teroan;Positif;Bagus bgt..
sam joss;air terjun teroan;Positif;Pemandangan yang bagus untuk santai dengan keluarga
Sudari Saifuddin;air terjun teroan;Positif;Indah dan asri
Dani Nuraztyo Wibowo;air terjun teroan;Positif;Tiketnya sangat murah dan air terjunnya cukup menarik
edy humaidi;air terjun teroan;Positif;Kennengennah nyaman cellep
Gabriel Pramana;air terjun teroan;Positif;Pemandangannya bagus tempatnya nyaman. Tetapi sangat di sayangkan dialiran air terjun masih banyak sampah sampah plastik yang berserakan, alangkah lebih baik pengelola dapat membersihkan sampah sampah tersebut agar pemandangan jauh lebih baik lagi
M Lan (M_Lan97);air terjun teroan;Positif;Bagus sekali
REANITA PUTRI ARDANA;air terjun teroan;Negatif;Kondisi setelah hujan, airnya jadi kecoklatan
Siva Prasad;air terjun teroan;Positif;Tempat terbaik untuk dikunjungi, saya suka lokasi ini
Ali mahrus;air terjun teroan;Negatif;menyesap
nanang pribumi;air terjun teroan;Positif;gak rugi datang kesini
Eriana Siskawati;air terjun teroan;Positif;pemandangan yang sangat indah, cocok juga untuk orang orang luar kota yang berlibur di air terjun ini, Dan biayanya cukup murah.
Sunadi Ady;air terjun teroan;Positif;Tempatnya bagus sejuk adem cuman perjalanannya aja yang agak melelahkan
enny herawati;air terjun teroan;Positif;Bagus untuk dikunjungi
Luki Hidayah;air terjun teroan;Positif;Patut dicoba, masih sangat alami, sebelum masuk infokan ke petugas airnya ada, krn kalau musin kemarau suka kecil debit air terjunnya
Humaidi depadeh;air terjun teroan;Negatif;Kurang baik pengelola lokasi
Rizqi Ramanda;air terjun teroan;Positif;Info kontrak an dekat sini ?? ?
Hobiburrohman Arrohman;air terjun teroan;Positif;Sangat senanng dan bahagia
Mathusin bin harun Harun;air terjun teroan;Positif;Toro'an dekat rumah saya
kharis putra;air terjun teroan;Positif;Siip
Dito Donito;air terjun teroan;Positif;Tempat nya nyaman banget... Menu ikan bakar nya mantap banget.. Sering juga kesini...
Hendra Susanto;air terjun teroan;Positif;Mantap viewnya bagus banget, terlihat masih asri dan air terjunnya langsung ke pantai
moh rasul;air terjun teroan;Positif;Tempatnya bagus tolong di tambahkan tempat buat spot spot foto selain air terjunnya dan taman main untuk anak bisa di rekomendasi kan.
Faradina Ilma;air terjun teroan;Positif;Kesana pas airnya deres banget. Tapi keren, bagus pemandangannya
candri maulida;air terjun teroan;Positif;Tempat nya baguss,  pantai yang ada air terjun nya..  Untuk biaya masuk 5.000 perorang dan parkir motor hanya 5.000. Kesana paling enak pagi pas air surut jadi bisa foto di spotý yang bagus..
Joko Suprapto;air terjun teroan;Positif;Pemandangan cukup bagus kebersihan lumayan bagus Smg LBH ditingkatkan lagi dg fasilitas yg bagus bisa bersaing dg wisata lainnya
Haryo Dwito Armono;air terjun teroan;Positif;Hanya 2,5 jam dari Surabaya, leat jalur pantura Madura, jalan beraspal halus dan bagus. Sangat dekat dan bagus sekali. Jangan berenang dan mandi disana. Berbahaya, Foto-foto dan lihat2 saja, Bagus, ada cafe, musholla, kamar mandi. Parkir ?
Laisa Tude;air terjun teroan;Positif;Air Terjun Yg Bagus, Banyak Spot Foto Yg Keren'
Tri Edy Sigit Pramono;air terjun teroan;Positif;"Tiket masuk murah sekali hanya 5 ribu saja, pantai bagus, air terjun juga manambah panoroma yg langka..biasanya jarang ada air terjung dekat pantai cuma kisaran 50m..dari pantai, dan pantai banyak batu karang; bagus untuk selfi.."
Super Yitno;air terjun teroan;Positif;Tempatnya cukup bagus dan ada cafee dan toilet..
Andika Bayangkara;air terjun teroan;Positif;Satu satunya air terjun di madura yang airnya terjun dari sungai langsung ke laut...bagus banget...kulinernya  mantap...yg recomended ikan bakar kembung maknyus
ISMA WATI;air terjun teroan;Positif;Tempat bagus buat spot foto2 pinggir laut, ada air terjun. Bersih dan dilengkapi dengan tempat makan. Karcis juga murah cuma 5k.
a nurul hadi;air terjun teroan;Positif;Salah satu keunikannya adalah air terjun yang langsung mengalir ke laut sehingga keindahannya sangat memanjakan mata. salah satu tempat wisata unit andalan kabupaten sampang madura, jarang ditemui di tempat lain
Ola Christine Official;air terjun teroan;Positif;Tempat wisata dg panorama dan pemandanganyg sangat indah ... air terjun yg bermuara tepat dibibir pantai utara pulau madura sangat cocok utk tujuan wisata keluarga ?????? ?
Bambang Mtx;air terjun teroan;Positif;Tempat yang bagus dan indah
singgih andi;air terjun teroan;Positif;Bagus tempatnya... Kalau mau kesini jgn pas hujan atau setelah hujan, krn air nya agak kotor
bang tito;air terjun teroan;Positif;Tempat nya bagus dan instagramable banget, cuma kalau pas hujan airnya agak kotor....
Wisri Zanuar;air terjun teroan;Positif;Lokasi mudah dijangkau dgn pemandangan yang sangat indah.
basuki mohamad;air terjun teroan;Positif;Tempat nya bagus ... Air terjun yang langsung kelaut.
Wiwin RA;air terjun teroan;Positif;Sangat Indah??
Nasrullah;air terjun teroan;Positif;Tempat wisata yang bagus, bersih dan masih terkoordiner dengan baik
Yoena;air terjun teroan;Positif;Pantai yang ada air terjunnya...bagus banget pokoknya ?????? ?
Sukid Skd Skd;air terjun teroan;Positif;Cocok untuk istirahat ngopi dan juga tempatnya indah untu Selfi.
siti rachimah;air terjun teroan;Positif;Tempatnya nyaman dan indah... Pokoknya gak bikin kita kecewa... ???????????????????????? ?
Samsul Arifin;air terjun teroan;Positif;Tempatnya bagus ???? ?
Yanuar Pratama Dicha Putra;air terjun teroan;Positif;Sangat bagus indah dan sedikit panas
Fiqhi Rahmatullah;air terjun teroan;Positif;Tempatnya bagus. HTM murah.
Dyfandio Daffa;air terjun teroan;Positif;Keren, air terjun langsung k laut Jawa
Icank Icank;air terjun teroan;Positif;Pemandangan yg amat indah
Ainul Anwar;air terjun teroan;Positif;Lumayan keren
Alya Jasmien;air terjun teroan;Positif;Tempatnya bagus
Koko Traveler sejati;air terjun teroan;Positif;Lumayan bagus
Anton Siswanto;air terjun teroan;Positif;Sungguh bagus banget
shole huddin;air terjun teroan;Positif;Bagus
Davidson Davidson;air terjun teroan;Positif;Unik dan cantik
hady riendy;air terjun teroan;Positif;Bagus
Andrie Hermawan Putro;air terjun teroan;Positif;Bagus
SAMSUL ARIFIN;air terjun teroan;Positif;Bagus
Moh. Safirul Anam;air terjun teroan;Positif;Indah
nasyaeif putra;air terjun teroan;Positif;Bagus
Kristina Dameria;air terjun teroan;Positif;"pemandangan air terjun yang bagus dan area berada di jalan utama sehingga aksesnya sangat mudah.
tiket masuk gratis tapi untuk parkir mobil harus membayar 10.000 rupiah per ?"
Phoebe Yulia;air terjun teroan;Positif;Air terjun yang bagus dan menarik langsung menuju ke laut. Permasalahannya adalah banyaknya sampah di laut dan bebatuan di sekitar air terjun/pantai. Ebtry murah hanya 5 ribu. Jika Anda pergi ke sini, tolong jangan membuang sampah ?
gede wijaya;air terjun teroan;Positif;Tempat yang bagus untuk fotografer lanskap ?????? ?
joni pri;air terjun teroan;Positif;Tempat ini indah dan nyaman
